ID,Date,Location ID,Location Description,Region,Country,Latitude,Longitude,Area Type,Junction Control,Accident Severity,Time of Day,Road Conditions,Junction Detail,Driver Age,Sex of Driver,Vehicle Type,Vehicle Propulsion,Number of Accidents,Number of Casualties,Number of Vehicles,Accidental Costs
1,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Wet Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2643.44
3,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Small Town,Traffic Enforcer,Serious,Early Morning,Snow,Roundabout,Over 56,Female,Motorcycle,Hybrid Electric,1,11,2,1847.23
4,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Rural,Stop Sign,Serious,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,2,2269.18
5,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Small Town,Stop Sign,Serious,Evening,Icy,Roundabout,Over 56,Female,Motorcycle,Heavy Oil,1,1,2,1633.98
7,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Rural,Stop Sign,Serious,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,2,1716.33
8,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,1890.09
9,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,2,2287.34
11,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,1,3483.47
12,X,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,16-20,Female,Van,Heavy Oil,1,1,2,3220.65
13,X,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2585.76
14,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,1,2,2353.38
15,X,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2759.18
16,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,2,2192.33
17,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Afternoon,Wet Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2012.93
18,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Rural,Stop Sign,Slight,Evening,Snow,Crossroad,16-20,Female,Taxi,Heavy Oil,1,1,2,1787.16
19,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Traffic Light,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,1,2,2265.27
20,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Small Town,Stop Sign,Serious,Evening,Icy,Roundabout,Over 56,Female,Motorcycle,Heavy Oil,1,1,2,2412.93
21,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,2,2051.22
22,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,Over 56,Female,Taxi,Heavy Oil,1,1,1,2205.6
23,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Small Town,Traffic Enforcer,Fatal,Early Morning,Icy,Private Residence,Over 56,Female,Motorcycle,Hybrid Electric,1,1,2,1476.24
24,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,1,2214.58
25,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,1,1945.26
26,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,2,2,2588.05
27,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,16-20,Female,Taxi,Heavy Oil,1,2,2,3116.16
28,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Urban,Traffic Light,Slight,Morning,Icy,T-junction,16-20,Female,Van,Heavy Oil,1,2,2,2773.48
30,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,2,2835.68
32,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,2,1879.19
33,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,2,1482.52
35,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,1,2197
36,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Small Town,Traffic Enforcer,Fatal,Early Morning,Snow,Private Residence,Over 56,Female,Motorcycle,Hybrid Electric,1,1,2,1960.89
37,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Small Town,Stop Sign,Serious,Evening,Icy,Roundabout,Over 56,Female,Motorcycle,Heavy Oil,1,1,2,481.61
38,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Small Town,Traffic Enforcer,Fatal,Early Morning,Icy,Private Residence,Over 56,Female,Motorcycle,Hybrid Electric,1,1,2,538.74
39,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Uncontrolled Junction,Slight,Afternoon,Wet Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,430.8
40,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Rural,Stop Sign,Slight,Evening,Snow,Crossroad,Over 56,Female,Taxi,Heavy Oil,1,1,2,480.33
41,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,Over 56,Female,Taxi,Heavy Oil,1,1,2,408.3
42,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Urban,Traffic Light,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,1,1,360.13
43,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,1,1938.81
44,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,2,3347.09
46,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,2,1,2033.49
47,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,1,2,2525.16
48,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Urban,Uncontrolled Junction,Slight,Morning,Wet Road,Not at junction,46-55,Male,Car,Petrol,1,1,1,2073.46
49,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Traffic Light,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,1,2,2230.03
50,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,2,2906.14
51,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Uncontrolled Junction,Slight,Afternoon,Wet Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2085.17
52,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,2,1945.69
53,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,1,2849.04
54,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Small Town,Stop Sign,Serious,Evening,Icy,Roundabout,Over 56,Female,Motorcycle,Heavy Oil,1,1,1,2207.86
55,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,2,1745.96
56,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Small Town,Traffic Enforcer,Fatal,Early Morning,Icy,Private Residence,Over 56,Female,Motorcycle,Hybrid Electric,1,1,2,1885.03
57,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,36-45,Male,Car,Petrol,1,1,1,1837.06
58,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,1609.01
59,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,1978.15
60,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Small Town,Traffic Enforcer,Serious,Early Morning,Icy,Roundabout,Over 56,Female,Motorcycle,Hybrid Electric,1,1,1,1738.42
61,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Rural,Stop Sign,Serious,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,2,1,1883.84
62,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Rural,Stop Sign,Slight,Evening,Snow,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,1,2357.38
63,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Small Town,Stop Sign,Serious,Evening,Icy,Roundabout,Over 56,Female,Motorcycle,Heavy Oil,1,1,2,2162.49
65,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,1,2044.12
66,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Urban,Traffic Light,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,2,2,2431.59
67,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,2,2,1043.48
68,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,2,1053.34
69,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Stop Sign,Slight,Evening,Icy,Crossroad,16-20,Female,Van,Heavy Oil,1,1,2,1200.22
70,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,Over 56,Female,Taxi,Heavy Oil,1,1,2,1316.99
71,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,1334.77
72,2017.Jan,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Urban,Traffic Light,Slight,Morning,Wet Road,T-junction,46-55,Male,Car,Petrol,1,1,2,1255.77
74,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,862.08
